id,placementid,studentid,selected
1,9,210010058,False
2,6,210010024,False
3,29,210010042,True
4,3,210010018,False
5,13,210010005,False
6,18,210010051,True
7,17,210010047,True
8,25,210010043,True
9,26,210010052,False
10,13,210010038,True
11,28,210010026,False
12,20,210010008,False
13,25,210010015,True
14,26,210010051,False
15,16,210010027,False
16,9,210010032,False
17,26,210010019,False
18,7,210010046,True
19,29,210010007,True
20,7,210010026,False
21,22,210010048,True
22,9,210010062,True
23,8,210010037,True
24,2,210010054,False
25,14,210010043,True
26,22,210010005,True
27,20,210010029,True
28,3,210010047,False
29,7,210010030,True
30,10,210010008,False
31,30,210010060,True
32,15,210010016,True
33,24,210010039,True
34,11,210010051,True
35,11,210010038,True
36,14,210010057,True
37,12,210010060,True
38,7,210010010,False
39,15,210010030,True
40,18,210010046,True
41,17,210010016,True
42,13,210010042,False
43,6,210010022,True
44,17,210010059,False
45,28,210010004,False
46,2,210010031,False
47,22,210010043,True
48,6,210010005,False
49,8,210010059,False
50,26,210010054,False
51,18,210010056,False
52,6,210010010,False
53,23,210010026,True
54,6,210010051,True
55,26,210010054,True
56,24,210010034,True
57,17,210010056,True
58,24,210010002,True
59,8,210010056,True
60,22,210010050,True
61,19,210010035,False
62,27,210010027,False
63,2,210010009,True
64,30,210010047,False
65,19,210010050,True
66,24,210010022,False
67,7,210010017,False
68,11,210010025,True
69,5,210010057,True
70,25,210010015,False
71,15,210010022,False
72,17,210010012,True
73,7,210010039,False
74,23,210010029,False
75,10,210010046,True
76,27,210010013,False
77,27,210010036,False
78,15,210010050,True
79,10,210010058,True
80,28,210010005,False
81,11,210010008,True
82,6,210010005,False
83,22,210010055,True
84,17,210010046,True
85,13,210010038,True
86,21,210010048,True
87,9,210010029,True
88,4,210010059,False
89,19,210010024,False
90,5,210010035,False
91,2,210010042,False
92,16,210010034,True
93,22,210010015,True
94,24,210010005,True
95,7,210010001,False
96,21,210010019,True
97,18,210010005,True
98,16,210010022,True
99,13,210010037,False
100,22,210010050,True
